-128.82,60.12,687.3,CAE02101201,WATSON LAKE A
-128.82,60.12,687.3,CAE02101202,WATSON LAKE A
-128.83,60.12,683.3,CAE02101204,WATSON LAKE (AUT)
-135.07,60.71,706.2,CAE02101303,WHITEHORSE A
-135.1,60.73,707.0,CAE02101310,WHITEHORSE AUTO
-135.01,68.22,6.4,CAE02200105,AKLAVIK A
-126.12,67.02,271.0,CAE02200824,COLVILLE LAKE
-126.13,67.02,274.0,CAE02200827,COLVILLE LAKE A
-123.43,65.21,212.8,CAE02201022,DELINE CS
-123.44,65.21,214.3,CAE02201023,DELINE A
-124.47,61.26,283.0,CAE022010H0,DEADMEN VALLEY
-128.65,66.24,81.4,CAE02201406,FORT GOOD HOPE A
-128.64,66.24,81.7,CAE02201450,FORT GOOD HOPE CS
-123.47,60.23,213.4,CAE02201579,FORT LIARD
-123.47,60.24,215.8,CAE02201581,FORT LIARD A
-134.86,67.41,35.4,CAE02201606,FORT MCPHERSON A
-125.57,64.91,100.3,CAE02201705,TULITA A
-117.6,61.32,159.8,CAE02201799,FORT PROVIDENCE
-109.17,62.71,167.6,CAE02201903,FORT RELIANCE (AUT)
-113.69,61.18,160.6,CAE02202010,FORT RESOLUTION A
-121.24,61.76,168.0,CAE02202102,FORT SIMPSON CLIMATE
-121.24,61.76,169.5,CAE02202103,FORT SIMPSON A
-121.24,61.76,169.5,CAE02202104,FORT SIMPSON A
-111.96,60.02,205.1,CAE02202201,FORT SMITH A
-111.93,60.03,203.0,CAE02202202,FORT SMITH CLIMATE
-111.96,60.02,205.1,CAE02202203,FORT SMITH A
-105.13,63.6,317.4,CAE02202351,HANBURY RIVER
-115.78,60.84,164.9,CAE02202401,HAY RIVER A
-115.78,60.84,164.0,CAE02202402,HAY RIVER CLIMATE
-115.78,60.84,164.9,CAE02202403,HAY RIVER A
-113.73,61.92,165.2,CAE02202560,INNER WHALEBACKS
-133.48,68.3,67.7,CAE02202571,INUVIK A
-133.52,68.32,103.0,CAE02202578,INUVIK CLIMATE
-117.24,63.13,271.3,CAE02202678,WHATI
-110.68,62.42,178.6,CAE02202690,LUTSELK'E A
-126.8,65.28,72.5,CAE02202801,NORMAN WELLS A
-126.75,65.29,93.6,CAE02202810,NORMAN WELLS CLIMATE
-124.08,69.36,4.6,CAE02203055,PAULATUK A
-124.08,69.36,6.3,CAE02203058,PAULATUK
-127.21,61.96,618.0,CAE02203342,RABBIT KETTLE
-117.33,64.11,221.0,CAE02203359,GAMETI
-117.31,64.12,220.7,CAE02203365,GAMETI A
-133.03,69.43,4.3,CAE02203911,TUKTOYAKTUK A
-133.02,69.43,4.6,CAE02203914,TUKTOYAKTUK
-122.36,69.2,551.6,CAE02203918,TUKTUT NOGAIT
-114.08,64.19,368.2,CAE02203980,WEKWEETI A
-123.44,63.21,149.7,CAE02204005,WRIGLEY A
-114.44,62.46,205.7,CAE02204101,YELLOWKNIFE A
-114.45,62.47,205.0,CAE02204108,YELLOWKNIFE AIRPORT
-123.74,61.24,204.0,CAE02204300,YOHIN
-130.23,67.18,62.5,CAE0220B6Q3,LITTLE CHICAGO
-121.24,60.44,498.0,CAE0220CQHR,SAMBAA K'E
